STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,MDPR,Measurement Flag,Quality Flag,Source Flag,Time of Observation,MDSF,Measurement Flag,Quality Flag,Source Flag,Time of Observation,DAPR,Measurement Flag,Quality Flag,Source Flag,Time of Observation,PRCP,Measurement Flag,Quality Flag,Source Flag,Time of Observation,SNWD,Measurement Flag,Quality Flag,Source Flag,Time of Observation,SNOW,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMAX,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMIN,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TOBS,Measurement Flag,Quality Flag,Source Flag,Time of Observation,WT01,Measurement Flag,Quality Flag,Source Flag,Time of Observation,WT05,Measurement Flag,Quality Flag,Source Flag,Time of Observation,WT11,Measurement Flag,Quality Flag,Source Flag,Time of Observation,WT03,Measurement Flag,Quality Flag,Source Flag,Time of Observation
GHCND:USC00051948,CREEDE WATER TREATMENT CO US,2628.6,37.82528,-106.93167,20070225,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,0,P, ,0,0800,-9999, , , ,9999,0,P, ,0,9999,6, , ,0,0800,-200, , ,0,0800,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USC00051948,CREEDE WATER TREATMENT CO US,2628.6,37.82528,-106.93167,20070226,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,178, , ,0,9999,0,T, ,0,9999,17, , ,0,0800,-239, , ,0,0800,-78, , ,0,0800,-9999, , , ,9999,-9999, , , ,9999,1, , ,0,9999,-9999, , , ,9999
GHCND:USC00051948,CREEDE WATER TREATMENT CO US,2628.6,37.82528,-106.93167,20070227,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,0,P, ,0,0800,152, , ,0,9999,0,P, ,0,9999,44, , ,0,0800,-122, , ,0,0800,-33, , ,0,0800,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USC00051948,CREEDE WATER TREATMENT CO US,2628.6,37.82528,-106.93167,20070228,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,3, , ,0,0800,152, , ,0,9999,10, , ,0,9999,44, , ,0,0800,-61, , ,0,0800,-56, , ,0,0800,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USC00051948,CREEDE WATER TREATMENT CO US,2628.6,37.82528,-106.93167,20070301,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,5, , ,0,0800,203, , ,0,9999,46, , ,0,9999,-22, , ,0,0800,-250, , ,0,0800,-200, , ,0,0800,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USC00051948,CREEDE WATER TREATMENT CO US,2628.6,37.82528,-106.93167,20070302,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,0,P, ,0,0800,203, , ,0,9999,0,P, ,0,9999,-61, , ,0,0800,-261, , ,0,0800,-239, ,I,0,0800,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USC00051948,CREEDE WATER TREATMENT CO US,2628.6,37.82528,-106.93167,20070303,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,0,P, ,0,0800,0,T, ,0,9999,0,P, ,0,9999,-61, , ,0,0800,-222, ,I,0,0800,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USC00051948,CREEDE WATER TREATMENT CO US,2628.6,37.82528,-106.93167,20070304,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,0,P, ,0,0800,-9999, , , ,9999,0,P, ,0,9999,-6, , ,0,0800,-194, , ,0,0800,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USC00051948,CREEDE WATER TREATMENT CO US,2628.6,37.82528,-106.93167,20070305,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,0,P, ,0,0800,178, , ,0,9999,0,P, ,0,9999,83, , ,0,0800,-250, , ,0,0800,-139, , ,0,0800,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USC00051948,CREEDE WATER TREATMENT CO US,2628.6,37.82528,-106.93167,20070306,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,0,P, ,0,0800,178, , ,0,9999,0,P, ,0,9999,67, , ,0,0800,-161, , ,0,0800,-122, , ,0,0800,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USC00051948,CREEDE WATER TREATMENT CO US,2628.6,37.82528,-106.93167,20070307,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,0,P, ,0,0800,178, , ,0,9999,0,P, ,0,9999,83, , ,0,0800,-133, , ,0,0800,-44, , ,0,0800,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USC00051948,CREEDE WATER TREATMENT CO US,2628.6,37.82528,-106.93167,20070308,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,0,P, ,0,0800,178, , ,0,9999,0,P, ,0,9999,122, , ,0,0800,-89, , ,0,0800,-39, , ,0,0800,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USC00051948,CREEDE WATER TREATMENT CO US,2628.6,37.82528,-106.93167,20070309,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,0,P, ,0,0800,-9999, , , ,9999,0,P, ,0,9999,122, , ,0,0800,-111, , ,0,0800,-72, , ,0,0800,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USC00051948,CREEDE WATER TREATMENT CO US,2628.6,37.82528,-106.93167,20070310,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,0,P, ,0,0800,-9999, , , ,9999,0,P, ,0,9999,117, , ,0,0800,-67, , ,0,0800,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USC00051948,CREEDE WATER TREATMENT CO US,2628.6,37.82528,-106.93167,20070311,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,0,P, ,0,0800,-9999, , , ,9999,0,P, ,0,9999,94, , ,0,0800,-72, , ,0,0800,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USC00051948,CREEDE WATER TREATMENT CO US,2628.6,37.82528,-106.93167,20070312,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,0,P, ,0,0800,102, , ,0,9999,0,P, ,0,9999,128, , ,0,0800,-89, , ,0,0800,-83, , ,0,0800,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USC00051948,CREEDE WATER TREATMENT CO US,2628.6,37.82528,-106.93167,20070313,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,0,P, ,0,0800,76, , ,0,9999,0,P, ,0,9999,167, , ,0,0800,-89, , ,0,0800,-61, , ,0,0800,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USC00051948,CREEDE WATER TREATMENT CO US,2628.6,37.82528,-106.93167,20070314,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,0,P, ,0,0800,25, , ,0,9999,0,P, ,0,9999,167, , ,0,0800,-61, , ,0,0800,-50, , ,0,0800,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USC00051948,CREEDE WATER TREATMENT CO US,2628.6,37.82528,-106.93167,20070315,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,0,P, ,0,0800,0,T, ,0,9999,0,P, ,0,9999,150, , ,0,0800,-50, , ,0,0800,-50, , ,0,0800,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USC00051948,CREEDE WATER TREATMENT CO US,2628.6,37.82528,-106.93167,20070316,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,0,P, ,0,0800,0,T, ,0,9999,0,P, ,0,9999,139, , ,0,0800,-67, , ,0,0800,-61, , ,0,0800,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USC00051948,CREEDE WATER TREATMENT CO US,2628.6,37.82528,-106.93167,20070317,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,0,P, ,0,0800,0,P, ,0,9999,0,P, ,0,9999,167, , ,0,0800,-67, , ,0,0800,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USC00051948,CREEDE WATER TREATMENT CO US,2628.6,37.82528,-106.93167,20070318,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,0,P, ,0,0800,0,P, ,0,9999,0,P, ,0,9999,172, , ,0,0800,-67, , ,0,0800,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USC00051948,CREEDE WATER TREATMENT CO US,2628.6,37.82528,-106.93167,20070319,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,0,P, ,0,0800,0, , ,0,9999,0,P, ,0,9999,189, , ,0,0800,-67, , ,0,0800,-50, , ,0,0800,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USC00051948,CREEDE WATER TREATMENT CO US,2628.6,37.82528,-106.93167,20070320,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,0,P, ,0,0800,0, , ,0,9999,0,P, ,0,9999,156, , ,0,0800,-78, , ,0,0800,-67, , ,0,0800,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USC00051948,CREEDE WATER TREATMENT CO US,2628.6,37.82528,-106.93167,20070321,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,0,P, ,0,0800,0,P, ,0,9999,0,P, ,0,9999,144, , ,0,0800,-67, , ,0,0800,0, , ,0,0800,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USC00051948,CREEDE WATER TREATMENT CO US,2628.6,37.82528,-106.93167,20070322,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,76, , ,0,0800,76, , ,0,9999,86, , ,0,9999,89, , ,0,0800,0, , ,0,0800,11, , ,0,0800,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USC00051948,CREEDE WATER TREATMENT CO US,2628.6,37.82528,-106.93167,20070323,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,0,P, ,0,0800,0, , ,0,9999,0,P, ,0,9999,106, , ,0,0800,-44, , ,0,0800,-28, , ,0,0800,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USC00051948,CREEDE WATER TREATMENT CO US,2628.6,37.82528,-106.93167,20070324,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,8, , ,0,0800,0,P, ,0,9999,0,T, ,0,9999,72, , ,0,0800,-28, , ,0,0800,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USC00051948,CREEDE WATER TREATMENT CO US,2628.6,37.82528,-106.93167,20070325,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,0,P, ,0,0800,0,P, ,0,9999,0,P, ,0,9999,106, , ,0,0800,-17, , ,0,0800,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USC00051948,CREEDE WATER TREATMENT CO US,2628.6,37.82528,-106.93167,20070326,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,0,P, ,0,0800,0, , ,0,9999,0,P, ,0,9999,133, , ,0,0800,-44, , ,0,0800,-33, , ,0,0800,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USC00051948,CREEDE WATER TREATMENT CO US,2628.6,37.82528,-106.93167,20070327,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,0,T, ,0,9999,-9999, , , ,9999,139, , ,0,0800,-33, , ,0,0800,-17, , ,0,0800,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USC00051948,CREEDE WATER TREATMENT CO US,2628.6,37.82528,-106.93167,20070328,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,15, , ,0,0800,25, , ,0,9999,30, , ,0,9999,139, , ,0,0800,-50, , ,0,0800,-50, , ,0,0800,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USC00051948,CREEDE WATER TREATMENT CO US,2628.6,37.82528,-106.93167,20070329,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,0,P, ,0,0800,0, , ,0,9999,0,P, ,0,9999,11, , ,0,0800,-117, , ,0,0800,-106, , ,0,0800,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USC00051948,CREEDE WATER TREATMENT CO US,2628.6,37.82528,-106.93167,20070330,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,18, , ,0,0800,25, , ,0,9999,23, , ,0,9999,-6, , ,0,0800,-122, , ,0,0800,-67, , ,0,0800,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USC00051948,CREEDE WATER TREATMENT CO US,2628.6,37.82528,-106.93167,20070331,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,0,P, ,0,0800,-9999, , , ,9999,0,P, ,0,9999,56, , ,0,0800,-83, , ,0,0800,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USC00051948,CREEDE WATER TREATMENT CO US,2628.6,37.82528,-106.93167,20070401,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,0,P, ,0,0800,0,P, ,0,9999,0,P, ,0,9999,89, , ,0,0800,-72, , ,0,0800,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USC00051948,CREEDE WATER TREATMENT CO US,2628.6,37.82528,-106.93167,20070402,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,0,P, ,0,0800,0,P, ,0,9999,0,P, ,0,9999,139, , ,0,0800,-83, , ,0,0800,-39, , ,0,0800,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USC00051948,CREEDE WATER TREATMENT CO US,2628.6,37.82528,-106.93167,20070403,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,0,P, ,0,0800,0,P, ,0,9999,0,P, ,0,9999,156, , ,0,0800,-56, , ,0,0800,-33, , ,0,0800,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USC00051948,CREEDE WATER TREATMENT CO US,2628.6,37.82528,-106.93167,20070404,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,0,P, ,0,0800,0,P, ,0,9999,0,P, ,0,9999,167, , ,0,0800,-72, , ,0,0800,-44, , ,0,0800,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USC00051948,CREEDE WATER TREATMENT CO US,2628.6,37.82528,-106.93167,20070405,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,0,P, ,0,0800,0,P, ,0,9999,0,P, ,0,9999,161, , ,0,0800,-56, , ,0,0800,-44, , ,0,0800,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USC00051948,CREEDE WATER TREATMENT CO US,2628.6,37.82528,-106.93167,20070406,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,0,P, ,0,0800,0,P, ,0,9999,0,P, ,0,9999,150, , ,0,0800,-78, , ,0,0800,-44, ,I,0,0800,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USC00051948,CREEDE WATER TREATMENT CO US,2628.6,37.82528,-106.93167,20070407,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,0,P, ,0,0800,0,P, ,0,9999,0,P, ,0,9999,161, , ,0,0800,-28, ,I,0,0800,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
